800,1.5,0.3048,71.3,0.00336729,127.122
5000,7.3,0.2286,55.5,0.0111706,113.144
3150,11.2,0.0508,39.6,0.0150478,119.67
800,0.0,0.1016,39.6,0.00146332,128.401
630,3.3,0.1016,55.5,0.002211,126.599
10000,3.3,0.1016,39.6,0.00245138,115.321
800,6.7,0.1016,71.3,0.00478288,134.478
1250,0.0,0.0508,39.6,0.000791822,129.148
400,7.3,0.2286,31.7,0.0132672,130.269
5000,5.4,0.1524,71.3,0.00401199,120.061
10000,4.2,0.0508,71.3,0.00142788,121.238
630,6.7,0.1016,39.6,0.00578076,133.355
800,2.7,0.1524,71.3,0.00243851,127.394
2500,4.0,0.3048,39.6,0.00579636,120.233
6300,7.2,0.1524,71.3,0.00752039,116.603
630,0.0,0.1016,55.5,0.00131983,126.17
200,9.5,0.0254,31.7,0.00461377,119.146
800,15.4,0.0508,31.7,0.0289853,125.555
1600,15.4,0.0508,55.5,0.0271925,128.2
1600,4.0,0.2286,39.6,0.00473801,125.319
1250,19.7,0.0508,39.6,0.036484,118.634
8000,12.7,0.0254,39.6,0.0130253,120.607
5000,5.4,0.1524,39.6,0.00485029,117.037
250,12.3,0.1016,55.5,0.0368233,133.294
1000,9.9,0.1524,39.6,0.0233328,123.835
1000,7.3,0.2286,31.7,0.0132672,119.099
315,7.2,0.1524,39.6,0.00909175,130.558
4000,4.8,0.0254,55.5,0.000873218,133.924
2000,0.0,0.0508,71.3,0.000740478,131.06
250,12.6,0.1524,39.6,0.0584113,115.89
1600,0.0,0.2286,39.6,0.00253511,127.095
2500,15.6,0.1016,39.6,0.0528487,110.264
1250,7.3,0.2286,71.3,0.0104404,127.358
630,3.0,0.3048,71.3,0.00425727,129.354
2500,15.4,0.0508,55.5,0.0271925,125.63
3150,12.3,0.1016,55.5,0.0368233,116.914
1000,9.9,0.1524,55.5,0.0208438,124.665
400,9.5,0.0254,31.7,0.00461377,124.756
1600,2.0,0.2286,31.7,0.00372371,125.797
