275.0,0.0,0.0,183.0,0.0,1088.0,808.0,7,14.2
173.5,50.1,173.5,164.8,6.5,1006.2,793.5,100,56.06
313.3,0.0,113.0,178.5,8.0,1001.9,688.7,28,36.8
251.8,0.0,99.9,146.1,12.4,1006.0,899.8,3,21.02
397.0,17.2,158.0,167.0,20.8,967.0,633.0,28,55.65
222.4,0.0,96.7,189.3,4.5,967.1,870.3,56,29.45
480.0,0.0,0.0,192.0,0.0,936.2,712.2,7,34.57
143.8,136.3,106.2,178.1,7.5,941.5,774.3,28,26.15
236.0,0.0,0.0,193.0,0.0,968.0,885.0,7,9.99
236.0,0.0,0.0,194.0,0.0,968.0,885.0,28,18.42
310.0,0.0,0.0,192.0,0.0,970.0,850.0,90,34.68
231.8,0.0,121.6,174.0,6.7,1056.4,778.5,100,45.84
284.0,120.0,0.0,168.0,7.0,970.0,794.0,28,40.93
238.0,0.0,0.0,185.0,0.0,1118.0,789.0,28,17.54
296.0,0.0,106.7,221.4,10.5,819.2,778.4,28,31.42
164.2,0.0,200.1,181.2,12.6,849.3,846.0,28,15.09
212.0,141.3,0.0,203.5,0.0,973.4,750.0,3,6.81
236.0,0.0,0.0,193.0,0.0,968.0,885.0,180,24.1
166.1,0.0,163.3,176.5,4.5,1058.6,780.1,3,10.76
213.7,0.0,174.7,154.8,10.2,1053.5,776.4,28,40.15
193.5,290.2,0.0,185.7,0.0,998.2,704.3,7,17.2
190.0,190.0,0.0,228.0,0.0,932.0,670.0,365,53.69
425.0,106.3,0.0,153.5,16.5,852.1,887.1,7,49.2
254.0,0.0,0.0,198.0,0.0,968.0,863.0,180,27.63
237.5,237.5,0.0,228.0,0.0,932.0,594.0,270,38.41
425.0,106.3,0.0,153.5,16.5,852.1,887.1,3,33.4
136.4,161.6,125.8,171.6,10.4,922.6,764.4,28,29.07
212.1,0.0,121.6,180.3,5.7,1057.6,779.3,28,24.9
135.7,203.5,0.0,185.7,0.0,1076.2,759.3,7,7.51
