22.66,61.27,1019.29,55.43,448.68
11.23,41.17,1019.36,56.85,475.85
6.29,40.78,1024.75,96.37,478.29
17.31,58.49,1011.8,92.77,456.84
9.18,42.18,1017.4,87.3,475.57
29.08,67.07,1005.73,57.18,435.57
29.24,64.33,1011.49,65.08,440.12
12.55,38.91,1012.58,75.44,474.35
25.77,71.37,1008.88,78.96,433.45
13.51,40.1,1014.29,86.34,470.65
9.38,40.46,1019.29,75.77,474.1
18.58,49.25,1019.92,60.24,452.94
25.27,67.07,1006.34,66.35,445.81
14.28,42.77,1020.06,81.77,466.75
17.39,46.21,1013.94,82.73,454.06
11.12,41.54,1020.13,75.07,477.69
28.8,73.4,1011.34,54.01,439.65
24.8,72.24,1011.58,83.61,435.25
27.92,69.23,1013.21,44.43,435.62
31.07,70.98,1007.24,72.03,432.96
13.42,40.78,1025.03,77.51,459.04
17.45,50.9,1012.16,83.8,458.67
30.97,67.69,1005.61,50.88,425.35
13.63,43.5,1022.12,84.32,468.28
15.98,44.68,1018.48,85.94,462.77
11.55,42.34,1020.78,94.56,469.13
12.12,38.28,1013.7,91.27,469.59
21.97,58.12,1015.29,77.47,449.6
17.77,43.72,1009.01,77.7,456.34
9.47,41.4,1026.21,89.08,480.79
15.3,41.76,1022.57,71.56,466.59
10.15,41.14,1025.5,91.54,473.56
21.11,58.49,1011.6,80.44,449.16
21.93,61.45,1008.92,98.54,443.91
8.87,41.82,1033.3,74.28,477.97
26.11,70.36,1007.64,70.12,445.37
9.27,40.22,1008.1,89.24,481.23
22.82,64.63,1020.78,66.73,449.34
25.68,68.27,1008.05,68.48,434.89
6.77,40.78,1024.86,96.58,478.24
9.76,41.01,1019.66,97.59,467.6
6.84,41.06,1021.04,89.59,489.96
11.77,40.0,1021.08,85.08,475.49
32.63,74.99,1002.42,40.07,432.79
13.89,35.71,1016.4,65.49,468.54
20.24,58.41,1013.73,99.59,449.49
10.68,38.38,1020.79,72.33,476.22
27.52,69.68,1011.67,56.94,444.83
19.07,44.63,1020.23,44.93,456.37
23.85,52.3,1005.9,70.95,441.99
22.88,69.45,1014.02,65.13,441.76
28.31,64.79,1016.58,60.88,440.96
5.97,40.35,1012.3,94.1,489.03
12.75,42.86,1014.9,88.44,475.09
27.51,49.3,1003.74,61.27,437.09
13.67,44.92,1023.6,85.35,467.71
21.92,66.54,1012.49,79.82,443.03
22.34,52.84,1004.05,73.96,449.06
13.41,49.83,1008.83,87.14,466.38
28.15,72.99,1007.62,70.03,431.83
22.26,69.04,1010.48,84.33,444.73
20.13,40.33,1005.31,85.42,460.09
28.64,66.54,1010.43,43.39,437.97
10.64,41.04,1025.0,93.59,468.88
10.59,41.54,1019.94,72.52,478.74
20.79,65.59,1014.9,77.0,450.3
27.37,63.31,1012.89,60.11,439.15
17.23,40.12,1013.52,81.55,456.2
28.71,71.64,1005.21,71.11,432.05
21.44,62.96,1020.27,79.85,450.57
14.13,48.92,1011.72,78.06,464.17
18.59,43.14,1011.92,52.63,464.48
21.39,64.27,1011.71,95.39,445.12
11.3,25.36,1008.66,96.18,471.19
8.51,34.69,1026.96,75.34,481.83
31.0,77.95,1010.14,65.97,431.62
27.37,69.23,1013.25,48.02,433.18
18.9,60.07,1016.02,71.38,451.5
13.76,45.87,1008.89,87.27,463.5
23.65,71.98,1006.09,93.39,434.11
25.15,66.49,1012.71,63.46,436.0
26.39,66.49,1012.96,60.35,433.36
9.64,39.35,1015.1,91.76,479.81
13.02,40.1,1014.43,87.32,474.97
28.75,64.84,1009.61,58.24,441.3
15.35,35.4,1016.3,57.12,468.94
27.38,69.4,1004.57,74.12,434.47
31.24,72.39,999.47,68.17,430.7
31.91,69.89,1014.59,54.51,429.29
13.88,39.16,1010.8,75.69,464.37
24.87,65.75,1006.45,65.75,435.6
30.92,80.18,1010.11,72.47,432.35
27.42,65.74,1013.43,69.42,440.52
25.09,69.68,1012.18,91.33,439.77
12.61,41.79,1015.82,91.9,461.37
24.37,68.14,1005.22,59.27,440.22
30.05,66.44,1008.46,76.82,427.55
24.84,56.89,1012.15,67.24,440.36
8.95,36.18,1014.08,76.94,478.07
3.4,39.64,1011.1,83.43,459.86
10.59,25.36,1009.59,100.16,470.96
23.77,69.13,1011.05,89.41,434.08
29.04,70.72,1009.55,66.58,437.95
21.94,64.69,1007.39,77.58,449.36
13.75,44.47,1029.63,70.74,467.14
15.56,41.1,1004.65,84.58,467.32
10.12,38.38,1018.22,85.93,477.73
29.17,73.17,1009.87,60.97,432.07
28.02,71.77,1006.5,72.41,428.58
11.77,40.92,1021.85,81.55,467.31
10.13,38.16,1013.57,79.04,474.92
31.01,67.69,1005.06,46.16,426.64
15.37,43.67,1011.9,91.48,468.23
12.64,41.49,1019.78,94.0,468.78
24.18,59.92,1009.88,79.54,438.85
24.28,68.31,1009.94,77.08,440.07
22.5,59.43,1010.31,72.17,441.92
28.73,68.3,1016.53,55.73,434.15
21.05,63.09,1016.49,91.23,447.45
24.44,59.21,1017.36,61.45,445.82
14.39,43.56,1012.97,59.17,469.35
12.93,39.58,1010.93,75.9,473.09
21.92,61.87,1009.68,58.83,445.52
24.32,58.79,1016.8,65.61,442.78
12.68,45.0,1022.54,77.19,479.69
19.83,63.94,1019.81,75.05,448.03
9.98,41.62,1013.56,95.77,463.16
28.03,60.23,1010.23,66.04,438.88
22.25,51.86,1013.08,83.64,451.04
10.38,41.01,1020.8,94.26,465.9
19.73,49.69,1007.78,73.02,454.28
27.96,73.42,1011.11,71.93,435.93
27.13,69.45,1013.9,51.16,434.47
26.23,59.87,1012.93,66.62,447.16
26.92,51.43,1012.29,59.33,437.35
30.02,68.24,1009.8,65.73,429.5
24.31,66.49,1011.38,54.35,440.79
29.23,75.6,1017.72,52.26,438.92
22.97,72.24,1011.15,95.85,437.41
15.18,43.67,1011.59,92.58,467.74
10.84,40.62,1015.53,60.9,467.6
