1,0,0,4,140.0,78,2592,18.5,75,23.0
1,0,0,6,200.0,81,3012,17.6,76,24.0
0,0,1,4,107.0,72,2290,17.0,80,32.4
1,0,0,6,225.0,90,3381,18.7,80,19.1
0,0,1,4,107.0,75,2210,14.4,81,33.7
0,0,1,6,146.0,97,2815,14.5,77,22.0
1,0,0,6,173.0,115,2595,11.3,79,28.8
1,0,0,8,350.0,155,4360,14.9,79,16.9
1,0,0,8,318.0,150,3777,12.5,73,15.0
1,0,0,8,260.0,90,3420,22.2,79,23.9
0,0,1,4,120.0,97,2506,14.5,72,23.0
1,0,0,6,198.0,95,2833,15.5,70,22.0
0,1,0,4,114.0,91,2582,14.0,73,20.0
1,0,0,4,122.0,86,2226,16.5,72,21.0
1,0,0,4,112.0,88,2605,19.6,82,28.0
0,0,1,4,120.0,75,2542,17.5,80,31.3
0,0,1,4,134.0,90,2711,15.5,80,29.8
1,0,0,4,122.0,86,2220,14.0,71,23.0
1,0,0,8,400.0,170,4746,12.0,71,13.0
0,0,1,4,86.0,65,2019,16.4,80,37.2
0,1,0,4,68.0,49,1867,19.5,73,29.0
1,0,0,4,122.0,96,2300,15.5,77,25.5
1,0,0,8,318.0,150,3436,11.0,70,18.0
0,1,0,4,110.0,87,2672,17.5,70,25.0
1,0,0,8,305.0,140,4215,13.0,76,17.5
1,0,0,6,250.0,88,3021,16.5,73,18.0
0,0,1,4,113.0,95,2278,15.5,72,24.0
1,0,0,6,199.0,97,2774,15.5,70,18.0
1,0,0,6,199.0,90,2648,15.0,70,21.0
0,1,0,5,121.0,67,2950,19.9,80,36.4
1,0,0,4,98.0,80,2164,15.0,72,28.0
1,0,0,4,98.0,80,1915,14.4,79,35.7
1,0,0,4,105.0,63,2125,14.7,82,38.0
1,0,0,8,350.0,170,4165,11.4,77,15.5
1,0,0,8,351.0,153,4129,13.0,72,14.0
1,0,0,4,112.0,88,2395,18.0,82,34.0
1,0,0,8,440.0,215,4312,8.5,70,14.0
1,0,0,4,140.0,86,2790,15.6,82,27.0
0,1,0,4,107.0,86,2464,15.5,76,28.0
1,0,0,4,151.0,90,2735,18.0,82,27.0
1,0,0,8,307.0,130,4098,14.0,72,13.0
1,0,0,4,140.0,88,2720,15.4,78,25.1
1,0,0,4,140.0,90,2264,15.5,71,28.0
1,0,0,6,200.0,95,3155,18.2,78,20.5
1,0,0,6,232.0,100,2634,13.0,71,19.0
0,1,0,4,89.0,71,1990,14.9,78,31.5
1,0,0,6,200.0,88,3060,17.1,81,20.2
0,1,0,4,89.0,71,1925,14.0,79,31.9
1,0,0,6,225.0,100,3630,17.7,77,19.0
0,0,1,4,108.0,75,2265,15.2,80,32.2
1,0,0,8,318.0,150,3940,13.2,76,13.0
1,0,0,4,98.0,60,2164,22.1,76,24.5
0,1,0,4,98.0,76,2144,14.7,80,41.5
1,0,0,8,304.0,120,3962,13.9,76,15.5
0,0,1,4,108.0,93,2391,15.5,74,26.0
1,0,0,8,350.0,175,4100,13.0,73,13.0
1,0,0,8,350.0,145,4440,14.0,75,15.0
0,0,1,3,70.0,100,2420,12.5,80,23.7
0,0,1,4,97.0,67,2065,17.8,81,32.3
1,0,0,4,140.0,72,2408,19.0,71,22.0
0,1,0,5,183.0,77,3530,20.1,79,25.4
0,0,1,4,86.0,65,1975,15.2,79,34.1
1,0,0,4,98.0,63,2051,17.0,77,30.5
0,0,1,4,97.0,88,2130,14.5,71,27.0
0,1,0,4,121.0,113,2234,12.5,70,26.0
0,0,1,4,97.0,88,2130,14.5,70,27.0
1,0,0,4,156.0,92,2585,14.5,82,26.0
1,0,0,8,400.0,175,5140,12.0,71,13.0
1,0,0,8,318.0,150,4077,14.0,72,14.0
1,0,0,8,383.0,170,3563,10.0,70,15.0
1,0,0,6,200.0,103,2875,17.0,74,21.0
1,0,0,6,225.0,105,3121,16.5,73,18.0
1,0,0,8,350.0,145,3988,13.0,73,13.0
1,0,0,8,400.0,230,4278,9.5,73,16.0
1,0,0,8,400.0,150,3761,9.5,70,15.0
1,0,0,6,155.0,107,2472,14.0,73,21.0
1,0,0,4,156.0,105,2800,14.4,80,27.9
0,1,0,4,90.0,70,1937,14.2,76,29.0
0,0,1,4,72.0,69,1613,18.0,71,35.0
1,0,0,4,98.0,66,1800,14.4,78,36.1
